lon_h3,target,stops_cnt,roads_cnt,amenity_cnt,Авторемонт и техобслуживание (СТО),Банки,Быстрое питание,Доставка готовых блюд,Женская одежда,Кафе,Овощи / Фрукты,Рестораны,Супермаркеты
60.58820342700668,7663,29,17,129,8,14,5,5,22,11,11,3,50
60.60539892092092,1162,32,15,189,11,25,16,8,30,16,13,6,64
60.598777195669726,2961,32,18,225,9,25,17,10,41,14,24,8,77
60.625910704724106,2963,42,25,238,8,18,22,6,57,9,24,4,90
60.61260981174454,116,46,24,274,18,32,31,11,44,13,29,5,91
60.62647252303491,84,37,25,203,11,11,23,6,43,8,24,1,76
60.61435209100548,14452,30,24,281,22,11,44,11,75,15,24,8,71
60.61435209100548,88,30,24,281,22,11,44,11,75,15,24,8,71
60.62878122129816,696,6,7,76,29,1,10,2,6,4,6,0,18
60.62821914918943,154,6,10,76,29,1,10,2,6,4,6,0,18
60.60929911228175,80,45,20,270,13,34,30,10,54,13,30,7,79
60.61320008396932,75,34,30,316,16,25,43,13,78,17,30,5,89
60.59194151048733,933,7,16,78,23,2,10,6,21,4,6,0,6
60.60186674654757,6947,26,23,152,6,7,26,14,26,19,9,7,38
60.59743766884944,104,30,25,174,15,8,28,14,26,19,15,7,42
60.619673758858944,2954,25,9,55,39,0,1,0,7,4,0,0,4
60.60980337199665,15860,30,17,142,16,18,11,3,18,7,9,5,55
60.61479744440498,5670,41,20,254,19,18,28,10,44,13,26,5,91
60.58774761111204,128,26,24,215,11,11,22,8,78,6,14,2,63
60.50496257207906,11998,13,5,17,3,0,0,3,9,0,0,0,2
60.50496257207906,85,13,5,17,3,0,0,3,9,0,0,0,2
60.4938574226389,2200,16,30,19,6,0,0,0,6,1,0,0,6
60.56080082208205,12817,43,25,264,59,14,28,16,29,7,28,6,77
60.58236953417299,12009,51,24,658,15,44,48,19,339,51,8,74,60
60.58236953417299,76,51,24,658,15,44,48,19,339,51,8,74,60
60.55246481929163,1229,39,26,228,25,18,36,15,47,10,17,4,56
60.570162276975374,1061,35,22,169,48,17,20,5,31,5,6,4,33
60.56683179594664,11030,41,20,207,58,16,16,7,39,11,12,4,44
60.54643100964279,56,34,28,206,11,11,27,15,26,7,31,3,75
60.60010281453334,548,36,36,621,8,57,58,17,250,66,5,100,60
60.59620869037831,85,51,25,1148,11,65,108,40,617,98,9,126,74
60.5989549843691,8780,46,26,1062,15,68,96,36,568,85,10,112,72
60.61114317044328,1325,49,30,678,4,65,59,22,257,71,7,105,88
60.60453025507864,6174,42,36,589,8,59,43,17,220,63,7,102,70
60.60116830040711,13970,47,28,1087,15,75,96,41,576,87,9,112,76
60.5918617237162,1432,21,30,123,1,15,5,6,21,9,7,23,36
60.5755567795245,2478,18,22,184,19,8,26,11,34,12,20,2,52
60.58272433772311,88,17,16,187,17,8,34,14,35,11,18,2,48
60.56294291151748,70,38,21,212,46,16,17,7,39,19,9,3,56
60.60772376925281,426,34,19,308,16,17,36,27,82,39,9,27,55
60.585090600787694,1132,63,17,819,44,30,90,41,433,51,17,48,65
60.59060923029021,821,50,19,531,13,27,42,29,278,35,15,33,59
60.5851164571073,1243,53,19,978,19,44,101,41,533,75,12,85,68
60.58397140206071,1030,43,16,300,27,19,30,17,99,20,13,18,57
60.59892765688125,14849,33,24,889,6,38,92,39,501,74,10,65,64
60.59892765688125,104,33,24,889,6,38,92,39,501,74,10,65,64
60.59506161733229,560,46,25,992,11,55,98,41,550,72,10,89,66
60.58503890460729,10876,31,26,212,42,4,21,12,51,22,9,2,49
60.58503890460729,76,31,26,212,42,4,21,12,51,22,9,2,49
60.55926275281498,7527,27,16,194,43,2,24,7,65,9,6,2,36
60.55096701273077,13572,30,11,205,42,3,34,5,72,13,9,1,26
60.55096701273077,76,30,11,205,42,3,34,5,72,13,9,1,26
60.55210739175217,10656,45,16,233,32,3,36,6,67,19,20,3,47
60.54492829993957,1924,41,14,242,15,8,44,6,70,28,21,1,49
60.53863573984263,11835,27,27,178,39,3,32,6,43,13,7,3,32
